"segmento","folio","o","region","comuna","zona","estrato","VarStrat","VarUnit","expr_full","expc_full","expr_fullsat","expr_fullfin","pco1","viv","hog","tot_hogviv","o_viv","sexo","edad","ecivil","pareja","nucleo","pco2","numper","h11","h11e_esp","e1","e2a","e2b","e2c","e3","e4","e5","e6a","e6b","e6c","e7","e8dv","e8nom","e8dir","e8com","e8rbd","e8te","e9","e10","e11a","e11b","e11c","e11d","e12a","e12b1","e12b2","e13pbu","e13pbt","e13pbd","e13pbm","e13bu","e13bt","e13bd","e13bm","e13bp","e13mu","e13mt","e13md","e13mm","e14a","e14b","e15","e16","e17t1","e17t2","e18t1m","e18t1p","e18t2m","e18t2p","e0","o1","o2","o3","o4","o5","o6","o7r1","o7r2","o8","oficio4","o10","o11","o12","o13","o14","o15","o16","o17","o18","o19","o20","rama4_sub","o22","rama4","o24","o25","o26","o27","o28","o29","o30","o0","y21","y28a","y28b","y28c","y28d","y28e","y29a","y29b1","y29b2","y29b3","y29b4","y29b5","y30a","y30b","y30c","y30d","y30e","y0","s1","s2a","s2b","s2c","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18a","s18b","s19","s20","s21","s22","s23","s24a","s24b","s24c","s25a","s25b","s25c","s26a","s26b","s26c","s27a","s27b","s27c","s28a","s28b","s28c","s29a","s29b","s29c","s30a","s30b","s30c","s30d","s31a","s31b","s31c","s31d","s32a","s32b","s32c","s32d","s33a","s33b","s33c","s33d","s34","s35","s36","s37t1","s37t2","s37t3","s38o1","s38o2","s38o3","s39a","s39b","s39c","s39d","s40a","s40b","s40c","s40d","s40e","s40f","s40g","s41a","s41b","s0","r1a","r1c_cod","r1p_cod","r2","r2c_cod","r2p_cod","r1b","r3","r4mn","r4mc","r5pn","r5pc","r6","r7","r8","r9","r10","r11a","r11b","r12","r13a","r13b","r13c","r13d","r13e","r13f","r14a","r14b","r14c","r14d","r14e","r15","r16","r17","r18a","r18b","r18c","r18d","r18e","r18f","r18g","r18h","r19","r20","r0","v1","v2","v2frent","v2fo","v3","v4","v5","v5m","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16a","v16b","v16c","v17","v18","v19","v19r","v20","v21","v22","v23","v23r","v24","v25","v26a","v26b","v26c","v26d","v26e","v27a","v27b","v27c","v27d","v27e","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v0a","v0b","esc","educ","asiste","depen","activ","oficio1","rama1_sub","rama1","submuestra","corte","qaut","daut","qaur","daur","yopraj","yoprhaj","ytrabaj","ytrabhaj","ypensaj","ypenshaj","ypresaj","ypreshaj","ysfamaj","ysfamhaj","y2401aj","y2401haj","ycesaj","yceshaj","ybpfeaj","ybpfehaj","yfamaj","yfamhaj","yotpaj","yotphaj","yjubaj","yjubhaj","yvitaj","yvithaj","yinvaj","yinvhaj","ymonaj","ymonhaj","yorfaj","yorfhaj","y2301aj","y2301haj","y2501aj","y2501haj","y2502aj","y2502haj","y2503aj","y2503haj","y2504aj","y2504haj","yautaj","yauthaj","yoautaj","yoauthaj","ymoneaj","ymonehaj","ysubaj","ysubhaj","ytotaj","ytothaj","yaimhaj","ypcauthaj","ypcmonhaj","indmat","indsan","cviv","iae","iai","hacinamiento","dia_ent","mes_ent","a_o_ent","fecha_ent"
11011001,11011001011,1,1,1101,1,11011,11121,11121412,7,6,15,15,1,1,1,1,1,1,44,2,2,1,1,4,1,NA,1,2,NA,NA,2,NA,NA,12,1,4,4,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2419,54,1,1,2010,3,5,1,1,1,1,1,NA,NA,5139,4,4,3,2,NA,1,1,1,5,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,4,5,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,8,8,2,0,NA,NA,NA,0,NA,NA,NA,2,1,3,2,25,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5109,NA,2,5801,NA,NA,3,11,3,12,5,10,NA,NA,12,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,NA,2,1,1,1,2,1,1,1,1,2,2,10,1,0,NA,NA,NA,5,4,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,280000,1,1,1,280000,1,17000,NA,1,1,1,34000,NA,5,NA,2,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,2,1,2,4,"1",1,16,8,2,NA,1,2,NA,7,2,3,4,8,4,8,939645,939645,1051377,1051377,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1112357,1112357,60980,60980,1112357,1112357,NA,0,1112357,1112357,0,278089.25,278089.25,1,1,1,1,1,1,30,12,2011,20111230
11011001,11011001011,2,1,1101,1,11011,11121,11121412,7,6,NA,NA,2,1,1,1,2,2,39,2,2,1,2,4,1,NA,1,2,NA,NA,2,NA,NA,8,1,4,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,16,3,NA,NA,NA,1,NA,9,NA,4,2,NA,6,5,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,8,NA,NA,NA,25,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5801,NA,2,5801,NA,NA,3,99,99,99,99,10,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,2,1,NA,3,0,NA,NA,NA,5,4,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,280000,1,1,1,280000,1,17000,NA,1,1,1,34000,NA,5,NA,2,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,2,1,2,4,"1",1,12,5,2,NA,3,NA,NA,NA,2,3,4,8,4,8,NA,939645,NA,1051377,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1112357,NA,60980,NA,1112357,NA,0,NA,1112357,0,278089.25,278089.25,1,1,1,1,1,1,30,12,2011,20111230
11011001,11011001011,3,1,1101,1,11011,11121,11121412,7,6,NA,NA,3,1,1,1,3,2,6,7,7,1,3,4,1,NA,NA,NA,NA,NA,1,NA,NA,6,2,1,NA,0,"OBISPO LABE","LUIS CRUZ MARTINEZ 715",1101,12518,110,2,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,1,20000,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,7,5,NA,NA,NA,NA,NA,NA,5,1,7,0,NA,NA,0,NA,NA,0,NA,NA,3,8,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,8,NA,NA,NA,25,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5801,NA,2,5801,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,2,2,NA,3,0,NA,NA,NA,5,4,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,280000,1,1,1,280000,1,17000,NA,1,1,1,34000,NA,5,NA,2,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,2,1,2,4,"1",1,NA,1,1,3,NA,NA,NA,NA,2,3,4,8,4,8,NA,939645,NA,1051377,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1112357,NA,60980,NA,1112357,NA,0,NA,1112357,0,278089.25,278089.25,1,1,1,1,1,1,30,12,2011,20111230
11011001,11011001011,4,1,1101,1,11011,11121,11121412,7,6,NA,NA,3,1,1,1,4,2,6,7,7,1,3,4,1,NA,NA,NA,NA,NA,1,NA,NA,6,2,1,NA,0,"OBISPO LABE","LUIS CRUZ MARTINEZ 715",1101,12518,110,2,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,1,20000,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,7,5,NA,NA,NA,NA,NA,NA,2,1,7,0,NA,NA,0,NA,NA,0,NA,NA,3,1,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,8,NA,NA,NA,25,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5801,NA,2,5801,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,2,2,NA,3,0,NA,NA,NA,5,4,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,280000,1,1,1,280000,1,17000,NA,1,1,1,34000,NA,5,NA,2,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,2,1,2,4,"1",1,NA,1,1,3,NA,NA,NA,NA,2,3,4,8,4,8,NA,939645,NA,1051377,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1112357,NA,60980,NA,1112357,NA,0,NA,1112357,0,278089.25,278089.25,1,1,1,1,1,1,30,12,2011,20111230
11011001,11011001031,1,1,1101,1,11011,11121,11121412,7,6,9,8,1,3,1,1,1,2,45,7,7,1,1,3,3,505,1,2,NA,NA,2,NA,NA,8,2,2,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,5123,45,1,1,2011,3,5,1,1,1,2,1,NA,NA,5520,3,3,3,2,NA,1,1,1,5,2,2,2,2,2,2,NA,NA,NA,NA,NA,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,23,3,NA,NA,NA,1,NA,4,12,2,2,2,5,5,NA,NA,NA,NA,NA,NA,1,1,7,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,8,NA,NA,NA,25,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,505,1,NA,NA,2005,2,99,99,99,99,10,NA,NA,12,2,NA,NA,NA,1,1,2,2,2,2,2,2,2,2,2,6,5,2,1,1,1,1,2,2,2,2,1,7,1,1,1,NA,NA,6,4,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,130000,2,2,2,150000,1,20000,NA,1,1,1,20000,NA,5,NA,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,1,2,3,3,1,3,"1",2,10,3,2,NA,1,5,NA,8,2,3,3,5,2,4,203315,379155,203315,379155,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,203315,379155,NA,0,203315,379155,NA,0,203315,379155,0,126385,126385,1,1,1,1,1,2,6,1,2012,20120106
11011001,11011001031,2,1,1101,1,11011,11121,11121412,7,6,NA,NA,4,3,1,1,2,1,20,7,7,1,4,3,3,505,1,2,NA,NA,2,NA,10,8,2,1,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,5,5,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,8,NA,NA,NA,25,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,505,3,NA,505,2008,NA,NA,NA,NA,NA,10,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,1,1,2,2,2,2,1,NA,3,1,1,NA,NA,6,4,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,130000,2,2,2,150000,1,20000,NA,1,1,1,20000,NA,5,NA,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,1,2,3,3,1,3,"1",2,9,3,2,NA,2,NA,NA,NA,2,3,3,5,2,4,NA,379155,NA,379155,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,379155,NA,0,NA,379155,NA,0,NA,379155,0,126385,126385,1,1,1,1,1,2,6,1,2012,20120106
11011001,11011001031,3,1,1101,1,11011,11121,11121412,7,6,NA,NA,4,3,1,1,3,1,26,7,7,1,4,3,3,505,1,2,NA,NA,2,NA,10,8,2,2,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,9152,45,1,1,2011,3,5,1,3,3,2,1,NA,NA,5520,3,3,3,2,NA,2,NA,3,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,5,5,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,8,NA,NA,NA,25,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,505,1,NA,NA,2006,NA,NA,NA,NA,NA,10,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,1,1,2,2,2,2,1,NA,3,1,1,NA,NA,6,4,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,130000,2,2,2,150000,1,20000,NA,1,1,1,20000,NA,5,NA,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,1,2,3,3,1,3,"1",2,10,3,2,NA,1,9,NA,8,2,3,3,5,2,4,175840,379155,175840,379155,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,175840,379155,NA,0,175840,379155,NA,0,175840,379155,0,126385,126385,1,1,1,1,1,2,6,1,2012,20120106
11011001,11011001041,1,1,1101,1,11011,11121,11121412,7,6,8,7,1,4,1,1,3,2,65,6,7,1,1,3,1,NA,1,2,NA,NA,2,NA,NA,7,1,6,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,3,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,5,2,2,2,2,2,2,NA,NA,NA,NA,NA,2,2,2,2,2,1,NA,NA,NA,NA,NA,2,4,NA,4,15,NA,NA,NA,NA,4,8,4,8,1,2,2,5,5,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,8,NA,NA,NA,25,NA,NA,5,NA,NA,3,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,NA,NA,1,NA,NA,NA,3,99,99,99,99,10,NA,NA,12,2,NA,NA,NA,2,1,2,1,2,2,2,2,2,2,2,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,1,3,NA,NA,1,1,5,NA,1,1,1,1959,1,8,NA,NA,NA,NA,2,2,2,2e+05,1,12000,NA,1,1,1,73000,NA,5,NA,6,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,3,1,2,1,3,"1",1,12,5,2,NA,3,NA,NA,NA,2,3,4,8,4,7,NA,769300,NA,769300,78449,78449,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,769300,NA,0,78449,847749,78449,78449,78449,941549,93800,256433.333333333,282583,1,1,1,1,1,1,6,1,2012,20120106
11011001,11011001041,2,1,1101,1,11011,11121,11121412,7,6,NA,NA,4,4,1,1,2,1,30,7,7,1,4,3,1,NA,1,2,NA,NA,2,NA,10,8,1,4,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,7111,45,3,1,2009,3,5,1,1,1,3,1,NA,NA,1320,6,9,8,2,NA,1,1,3,NA,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,7,5,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,8,NA,NA,NA,25,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,1,1,1,1,NA,3,1,3,NA,NA,1,1,5,NA,1,1,1,1959,1,8,NA,NA,NA,NA,2,2,2,2e+05,1,12000,NA,1,1,1,73000,NA,5,NA,6,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,3,1,2,1,3,"1",1,12,5,2,NA,1,7,NA,3,2,3,4,8,4,7,384650,769300,384650,769300,NA,78449,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,384650,769300,NA,0,384650,847749,NA,78449,384650,941549,93800,256433.333333333,282583,1,1,1,1,1,1,6,1,2012,20120106
11011001,11011001041,3,1,1101,1,11011,11121,11121412,7,6,NA,NA,4,4,1,1,1,1,33,7,7,1,4,3,1,NA,1,2,NA,NA,2,NA,NA,8,1,4,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,8111,45,3,1,2008,3,5,1,1,1,3,1,NA,NA,1320,6,9,8,2,NA,1,1,3,NA,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,7,5,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,8,NA,NA,NA,25,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,NA,3,1,3,NA,NA,1,1,5,NA,1,1,1,1959,1,8,NA,NA,NA,NA,2,2,2,2e+05,1,12000,NA,1,1,1,73000,NA,5,NA,6,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,3,1,2,1,3,"1",1,12,5,2,NA,1,8,NA,3,2,3,4,8,4,7,384650,769300,384650,769300,NA,78449,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,384650,769300,NA,0,384650,847749,NA,78449,384650,941549,93800,256433.333333333,282583,1,1,1,1,1,1,6,1,2012,20120106
